size_bytes,size_human,runc_busbw_gbps,runc_time_us
8,8B,0.00,2435.8
16,16B,0.00,2416.6
32,32B,0.00,2416.6
64,64B,0.00,2416.7
128,128B,0.00,2416.8
256,256B,0.00,2424.9
512,512B,0.00,2420.2
1024,1KB,0.00,2417.9
2048,2KB,0.00,2419.3
4096,4KB,0.00,2420.4
8192,8KB,0.01,2420.7
16384,16KB,0.01,2421.6
32768,32KB,0.03,2431.2
65536,64KB,0.05,2432.6
131072,128KB,0.10,2434.4
262144,256KB,0.20,2443.3
524288,512KB,0.40,2453.1
1048576,1MB,0.80,2461.4
2097152,2MB,1.58,2484.4
4194304,4MB,3.15,2494.2
8388608,8MB,6.19,2540.8
16777216,16MB,12.17,2584.3
33554432,32MB,23.72,2652.0
67108864,64MB,44.34,2838.1
134217728,128MB,81.11,3102.7
