size_bytes,size_human,gvisor_busbw_gbps,gvisor_time_us
8,8B,0.00,2421.0
16,16B,0.00,2420.1
32,32B,0.00,2421.9
64,64B,0.00,2420.7
128,128B,0.00,2420.8
256,256B,0.00,2424.3
512,512B,0.00,2421.3
1024,1KB,0.00,2422.4
2048,2KB,0.00,2424.9
4096,4KB,0.00,2425.1
8192,8KB,0.01,2425.9
16384,16KB,0.01,2426.7
32768,32KB,0.03,2434.6
65536,64KB,0.05,2430.3
131072,128KB,0.10,2438.4
262144,256KB,0.20,2500.4
524288,512KB,0.39,2550.8
1048576,1MB,0.79,2484.2
2097152,2MB,1.56,2516.8
4194304,4MB,3.06,2572.3
8388608,8MB,5.96,2638.7
16777216,16MB,11.19,2812.4
33554432,32MB,19.57,3214.1
67108864,64MB,29.91,4207.3
134217728,128MB,16.22,15518.6
